Frequency_Hz,EpsilonReal_mean,EpsilonReal_std,TanDelta_mean,TanDelta_std
500000000000,2.72486919908837,0.00598888087555313,0.0135501943297867,0.00012238863994142
500333333333.333,2.72485739123629,0.00598562776453829,0.0135547950738174,0.000122115009281988
500666666666.667,2.72484559368115,0.0059823792293922,0.0135593979317601,0.000121842002595015
501000000000,2.72483380642294,0.00597913527101982,0.0135640029036148,0.000121569620785279
501333333333.333,2.72482202946167,0.00597589589032856,0.0135686099893815,0.000121297864760835
501666666666.667,2.72481026279734,0.00597266108824915,0.0135732191890603,0.000121026735432893
502000000000,2.72479850642995,0.00596943086569664,0.0135778305026509,0.000120756233715992
502333333333.333,2.72478676035949,0.00596620522360309,0.0135824439301536,0.00012048636052789
502666666666.667,2.72477502458597,0.00596298416289518,0.0135870594715683,0.000120217116789612
503000000000,2.72476329910939,0.00595976768451734,0.013591677126895,0.000119948503425306
503333333333.333,2.72475158392975,0.00595655578941703,0.0135962968961336,0.000119680521362464
503666666666.667,2.72473987904704,0.00595334847853648,0.0136009187792843,0.000119413171531646
504000000000,2.72472818446128,0.00595014575282839,0.0136055427763469,0.000119146454866664
504333333333.333,2.72471650017245,0.00594694761325908,0.0136101688873216,0.000118880372304457
504666666666.667,2.72470482618056,0.00594375406078428,0.0136147971122082,0.000118614924785192
505000000000,2.7246931624856,0.00594056509637477,0.0136194274510068,0.000118350113252052
505333333333.333,2.72468150908758,0.00593738072101142,0.0136240599037174,0.000118085938651439
505666666666.667,2.72466986598651,0.00593420093566535,0.01362869447034,0.00011782240193281
506000000000,2.72465823318237,0.00593102574132722,0.0136333311508746,0.000117559504048754
506333333333.333,2.72464661067516,0.00592785513897669,0.0136379699453211,0.000117297245954832
506666666666.667,2.7246349984649,0.00592468912962054,0.0136426108536797,0.000117035628609848
507000000000,2.72462339655156,0.00592152771424718,0.0136472538759503,0.000116774652975404
507333333333.333,2.72461180493517,0.0059183708938693,0.0136518990121328,0.000116514320016312
507666666666.667,2.72460022361572,0.00591521866948993,0.0136565462622274,0.000116254630700282
508000000000,2.7245886525932,0.00591207104212553,0.0136611956262339,0.000115995585998038
508333333333.333,2.72457709186763,0.0059089280128025,0.0136658471041524,0.000115737186883248
508666666666.667,2.72456554143899,0.00590578958254016,0.0136705006959829,0.000115479434332464
509000000000,2.72455400130728,0.00590265575236852,0.0136751564017255,0.000115222329325315
509333333333.333,2.72454247147252,0.00589952652332591,0.0136798142213799,0.000114965872844078
509666666666.667,2.72453095193469,0.00589640189644864,0.0136844741549464,0.000114710065874139
510000000000,2.7245194426938,0.00589328187278433,0.0136891362024249,0.000114454909403541
510333333333.333,2.72450794374985,0.00589016645338446,0.0136938003638153,0.000114200404423286
510666666666.667,2.72449645510283,0.00588705563930452,0.0136984666391178,0.000113946551927057
