Time_abs/ps, Signal/nA
  1675.000,    -0.027223
  1675.050,    -0.014024
  1675.100,    -0.001388
  1675.150,     0.020449
  1675.200,     0.022186
  1675.250,     0.041243
  1675.300,     0.049307
  1675.350,     0.059314
  1675.400,     0.070622
  1675.450,     0.083012
  1675.500,     0.089783
  1675.550,     0.087323
  1675.600,     0.104466
  1675.650,     0.098358
  1675.700,     0.105825
  1675.750,     0.106318
  1675.800,     0.103963
  1675.850,     0.102278
  1675.900,     0.097765
  1675.950,     0.098624
  1676.000,     0.095482
  1676.050,     0.088570
  1676.100,     0.079053
  1676.150,     0.078584
  1676.200,     0.063233
  1676.250,     0.059063
  1676.300,     0.052256
  1676.350,     0.045894
  1676.400,     0.045412
  1676.450,     0.030526
  1676.500,     0.031053
  1676.550,     0.017272
  1676.600,     0.013045
  1676.650,    -0.002117
  1676.700,    -0.006924
  1676.750,    -0.019071
  1676.800,    -0.020545
  1676.850,    -0.051796
  1676.900,    -0.062536
  1676.950,    -0.097158
  1677.000,    -0.126720
  1677.050,    -0.175468
  1677.100,    -0.243511
  1677.150,    -0.324441
  1677.200,    -0.436658
  1677.250,    -0.543638
  1677.300,    -0.670503
  1677.350,    -0.755007
  1677.400,    -0.800467
  1677.450,    -0.745553
  1677.500,    -0.579134
  1677.550,    -0.290204
  1677.600,     0.112555
  1677.650,     0.580043
  1677.700,     1.070972
  1677.750,     1.491996
  1677.800,     1.835160
  1677.850,     2.024201
  1677.900,     2.075922
  1677.950,     1.982164
  1678.000,     1.757260
  1678.050,     1.438316
  1678.100,     1.068247
  1678.150,     0.681554
  1678.200,     0.311885
  1678.250,    -0.011166
  1678.300,    -0.281566
  1678.350,    -0.484829
  1678.400,    -0.630517
  1678.450,    -0.721012
  1678.500,    -0.765610
  1678.550,    -0.778929
  1678.600,    -0.762975
  1678.650,    -0.722977
  1678.700,    -0.683630
  1678.750,    -0.616448
  1678.800,    -0.540632
  1678.850,    -0.466961
  1678.900,    -0.375564
  1678.950,    -0.283239
  1679.000,    -0.202059
  1679.050,    -0.115715
  1679.100,    -0.049890
  1679.150,     0.017721
  1679.200,     0.069350
  1679.250,     0.103581
  1679.300,     0.133381
  1679.350,     0.134436
  1679.400,     0.149992
  1679.450,     0.141391
  1679.500,     0.138097
  1679.550,     0.136032
  1679.600,     0.125480
  1679.650,     0.138367
  1679.700,     0.114515
  1679.750,     0.130938
  1679.800,     0.117939
  1679.850,     0.115708
  1679.900,     0.115377
  1679.950,     0.092341
  1680.000,     0.085599
  1680.050,     0.062785
  1680.100,     0.044282
  1680.150,     0.018044
