Time_abs/ps, Signal/nA
  1675.000,    -0.024218
  1675.050,    -0.006886
  1675.100,    -0.007302
  1675.150,     0.015658
  1675.200,     0.022747
  1675.250,     0.042046
  1675.300,     0.048727
  1675.350,     0.066532
  1675.400,     0.071332
  1675.450,     0.076184
  1675.500,     0.087496
  1675.550,     0.088773
  1675.600,     0.100187
  1675.650,     0.105277
  1675.700,     0.109762
  1675.750,     0.103624
  1675.800,     0.110713
  1675.850,     0.100755
  1675.900,     0.100235
  1675.950,     0.103109
  1676.000,     0.088119
  1676.050,     0.092330
  1676.100,     0.079118
  1676.150,     0.076266
  1676.200,     0.069073
  1676.250,     0.057022
  1676.300,     0.056583
  1676.350,     0.045733
  1676.400,     0.034784
  1676.450,     0.032588
  1676.500,     0.021800
  1676.550,     0.012249
  1676.600,     0.006522
  1676.650,    -0.005808
  1676.700,    -0.010687
  1676.750,    -0.025252
  1676.800,    -0.039644
  1676.850,    -0.049760
  1676.900,    -0.084905
  1676.950,    -0.102179
  1677.000,    -0.154369
  1677.050,    -0.208039
  1677.100,    -0.287572
  1677.150,    -0.380783
  1677.200,    -0.497915
  1677.250,    -0.621873
  1677.300,    -0.732897
  1677.350,    -0.814934
  1677.400,    -0.817488
  1677.450,    -0.743131
  1677.500,    -0.524850
  1677.550,    -0.186780
  1677.600,     0.243923
  1677.650,     0.736605
  1677.700,     1.218831
  1677.750,     1.641058
  1677.800,     1.935233
  1677.850,     2.101195
  1677.900,     2.098003
  1677.950,     1.959702
  1678.000,     1.692176
  1678.050,     1.345764
  1678.100,     0.954585
  1678.150,     0.557521
  1678.200,     0.186981
  1678.250,    -0.128257
  1678.300,    -0.386526
  1678.350,    -0.586946
  1678.400,    -0.706692
  1678.450,    -0.795058
  1678.500,    -0.822956
  1678.550,    -0.832922
  1678.600,    -0.811457
  1678.650,    -0.766276
  1678.700,    -0.717412
  1678.750,    -0.646122
  1678.800,    -0.566358
  1678.850,    -0.488489
  1678.900,    -0.397208
  1678.950,    -0.314840
  1679.000,    -0.222364
  1679.050,    -0.152066
  1679.100,    -0.079398
  1679.150,    -0.023638
  1679.200,     0.024089
  1679.250,     0.057573
  1679.300,     0.078055
  1679.350,     0.088089
  1679.400,     0.086703
  1679.450,     0.084352
  1679.500,     0.082620
  1679.550,     0.075956
  1679.600,     0.077123
  1679.650,     0.068886
  1679.700,     0.073947
  1679.750,     0.064944
  1679.800,     0.064868
  1679.850,     0.060293
  1679.900,     0.053657
  1679.950,     0.035506
  1680.000,     0.025899
  1680.050,    -0.001156
  1680.100,    -0.014796
  1680.150,    -0.049259
  1680.200,    -0.063427
  1680.250,    -0.089621
  1680.300,    -0.105399
  1680.350,    -0.126588
  1680.400,    -0.122121
  1680.450,    -0.147786
  1680.500,    -0.147288
  1680.550,    -0.142652
  1680.600,    -0.149900
  1680.650,    -0.147566
  1680.700,    -0.152654
  1680.750,    -0.165479
  1680.800,    -0.166969
  1680.850,    -0.191284
  1680.900,    -0.196434
  1680.950,    -0.222538
  1681.000,    -0.241950
  1681.050,    -0.257083
  1681.100,    -0.276602
  1681.150,    -0.287764
  1681.200,    -0.305873
  1681.250,    -0.314243
  1681.300,    -0.314602
  1681.350,    -0.315114
  1681.400,    -0.307582
  1681.450,    -0.304778
  1681.500,    -0.287228
  1681.550,    -0.284894
  1681.600,    -0.268626
  1681.650,    -0.266317
  1681.700,    -0.258770
  1681.750,    -0.257834
  1681.800,    -0.249274
  1681.850,    -0.261559
  1681.900,    -0.249983
  1681.950,    -0.258998
  1682.000,    -0.250036
  1682.050,    -0.251810
  1682.100,    -0.244189
  1682.150,    -0.232788
  1682.200,    -0.231748
  1682.250,    -0.215846
  1682.300,    -0.208561
  1682.350,    -0.204116
  1682.400,    -0.197525
  1682.450,    -0.195602
  1682.500,    -0.196410
  1682.550,    -0.199280
  1682.600,    -0.197555
  1682.650,    -0.218190
  1682.700,    -0.218799
  1682.750,    -0.236444
  1682.800,    -0.243547
  1682.850,    -0.252647
  1682.900,    -0.261679
  1682.950,    -0.272261
  1683.000,    -0.279150
  1683.050,    -0.295427
  1683.100,    -0.307699
  1683.150,    -0.318489
  1683.200,    -0.342649
  1683.250,    -0.346892
  1683.300,    -0.349754
  1683.350,    -0.334256
  1683.400,    -0.301614
  1683.450,    -0.223011
  1683.500,    -0.126710
  1683.550,    -0.013299
  1683.600,     0.093655
  1683.650,     0.187518
  1683.700,     0.221361
  1683.750,     0.207164
  1683.800,     0.130813
  1683.850,    -0.012849
  1683.900,    -0.193757
  1683.950,    -0.410166
  1684.000,    -0.628378
  1684.050,    -0.831694
  1684.100,    -1.038204
  1684.150,    -1.209852
  1684.200,    -1.344999
  1684.250,    -1.469992
  1684.300,    -1.572757
  1684.350,    -1.650354
  1684.400,    -1.732845
  1684.450,    -1.806349
  1684.500,    -1.877649
  1684.550,    -1.965446
  1684.600,    -2.054674
  1684.650,    -2.154855
  1684.700,    -2.253421
  1684.750,    -2.374269
  1684.800,    -2.494653
  1684.850,    -2.633348
  1684.900,    -2.788910
  1684.950,    -2.957467
  1685.000,    -3.154203
  1685.050,    -3.373020
  1685.100,    -3.628857
  1685.150,    -3.911127
  1685.200,    -4.236961
  1685.250,    -4.598255
  1685.300,    -5.007656
  1685.350,    -5.477216
  1685.400,    -6.007901
  1685.450,    -6.591802
  1685.500,    -7.272575
  1685.550,    -8.055389
  1685.600,    -8.953694
  1685.650,   -10.007025
  1685.700,   -11.249673
  1685.750,   -12.710898
  1685.800,   -14.463601
  1685.850,   -16.570207
  1685.900,   -19.101153
  1685.950,   -22.181989
  1686.000,   -25.943390
  1686.050,   -30.562596
  1686.100,   -36.233960
  1686.150,   -43.120071
